iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
NER,Niger,WHO Region of Africa,Africa,27202843,56,12,27.202843,2.058608359,0.441130363,0.21428571,21.428571,16.894,20.652,5.5,5.2,5.0948744,42,25.98,230.18
BEN,Benin,WHO Region of Africa,Africa,13712828,31,1,13.712828,2.260656956,0.072924418,0.03225806,3.225806,49.534,125.142,9.6,1.1,5.606263,31,27.4,1057.68
,Suriname,WHO Region of the Americas,South America,623236,95,3,0.623236,152.4302191,4.813585865,0.03157895,3.157895,66.307,4.031,26.4,12.7,11.466745,43,26.77,5.38
,Laos,WHO Western Pacific Region,Asia,7633779,17867,215,7.633779,2340.518372,28.16429451,0.01203336,1.203336,37.592,33.211,5.3,6.2,6.986456,29,24.6,901.84
TTO,Trinidad,WHO Region of the Americas,North America,1534937,1802,19,1.534937,1173.989551,12.3783582,0.01054384,1.054384,53.34,292.969,18.6,12.7,16.90432,42,27.43,1951.42
BGD,Bangladesh,WHO South-East Asia Region,Asia,172954319,61817,297,172.954319,357.4180764,1.71721644,0.0048045,0.48045,39.711,1317.254,3.6,14.2,9.675464,29,25.75,2203.08
,Reunion,,Africa,981796,1227,4,0.981796,1249.750457,4.07416612,0.00325998,0.325998,,349.953,,,23.263546,,22.1,1022.52
URY,Uruguay,WHO Region of the Americas,South America,3423108,701,2,3.423108,204.7846577,0.584264359,0.00285307,0.285307,95.688,19.562,27.9,9,24.020798,42,18.26,751.06
,Cambodia,WHO Western Pacific Region,Asia,16944826,16327,42,16.944826,963.5389587,2.478632711,0.00257243,0.257243,25.114,96.246,3.9,7.3,9.324315,26,29.2,2104.04
MMR,Myanmar,WHO Western Pacific Region,Asia,54577997,5751,13,54.577997,105.3721338,0.238191226,0.00226048,0.226048,31.771,82.863,5.8,7.1,10.364796,38,27.63,482.69
SDN,Sudan,WHO Eastern Mediterranean Region,Africa,48109006,7456,12,48.109006,154.9813771,0.249433547,0.00160944,0.160944,35.956,28.352,8.6,18.9,5.7204413,41,26.63,286.09
PAN,Panama,WHO Region of the Americas,North America,4468087,33415,47,4.468087,7478.592069,10.51904316,0.00140655,0.140655,69.141,60.11,22.7,8.2,13.777615,36,27.52,2787.37
BFA,Burkina Faso,WHO Region of Africa,Africa,23251485,60141,83,23.251485,2586.544472,3.569664475,0.00138009,0.138009,31.877,84.159,5.6,2.1,4.766848,31,29.43,646.92
SLV,El Salvador,WHO Region of the Americas,North America,6364943,7587,9,6.364943,1191.998106,1.413995381,0.00118624,0.118624,74.767,304.519,24.6,6.3,11.976953,33,24.55,3219.52
ECU,Ecuador ,WHO Region of the Americas,South America,18190484,55693,66,18.190484,3061.655754,3.628270694,0.00118507,0.118507,64.57,72.395,19.9,4.4,12.089916,27,17.96,2439.36
JAM,Jamaica,WHO Region of the Americas,North America,2825544,1814,2,2.825544,642.0002661,0.707828298,0.00110254,0.110254,57.008,262.215,24.7,11.1,10.768036,46,27.65,1407.43
,Puerto Rico,WHO Region of the Americas,North America,3260314,4780,5,3.260314,1466.116454,1.533594617,0.00104603,0.104603,93.61,372.989,,13.3,37.90025,,26.54,1473.65
GTM,Guatemala,WHO Region of the Americas,North America,18092026,169911,176,18.092026,9391.485509,9.728042619,0.00103584,0.103584,52.666,169.138,21.2,13.1,7.4997387,32,26.7,1725.09
MLI,Mali,WHO Region of Africa,Africa,23293698,6402,6,23.293698,274.8382846,0.257580398,0.00093721,0.093721,45.437,19.48,8.6,2.1,4.7039475,35,28.63,229.7
PER,Peru,WHO Region of the Americas,South America,34352719,270906,253,34.352719,7886.013331,7.364773659,0.0009339,0.09339,78.708,26.44,19.47,4.8,13.481281,21,11.18,570.54
COD,Democratic Republic of the Congo,WHO Region of Africa,Africa,102262808,9894,9,102.262808,96.75071703,0.088008536,0.00090964,0.090964,46.837,46.664,6.7,5.8,6.0347595,34,26.35,1283.17
MYS,Malaysia,WHO Western Pacific Region,Asia,34308525,106773,96,34.308525,3112.141953,2.798138364,0.0008991,0.08991,78.214,106.913,15.6,19,10.596843,41,25.38,3076.81
HND,Honduras,WHO Region of the Americas,North America,10593798,171502,152,10.593798,16188.906,14.34801759,0.00088629,0.088629,59.6,97.593,21.4,5.1,6.633411,34,23.54,1854.62
IND,India,WHO South-East Asia Region,Asia,1428627663,186567,160,1428.627663,130.5917594,0.111995591,0.0008576,0.08576,35.872,483.679,3.9,9.6,10.173086,31,27.12,1819.55
,Maldives,WHO South-East Asia Region,Asia,521021,2383,2,0.521021,4573.712,3.83861687,0.00083928,0.083928,41.536,1753.313,8.6,9.2,5.7477074,34,28.66,1899.15
THA,Thailand,WHO South-East Asia Region,Asia,71801279,92382,76,71.801279,1286.634462,1.058476967,0.00082267,0.082267,52.889,140.348,10,9.7,20.943678,29,27.15,3.85
ARG,Argentina,WHO Region of the Americas,South America,45773884,579897,408,45.773884,12668.73049,8.913379516,0.00070357,0.070357,92.347,16.311,28.3,5.4,18.573557,48,15.83,546.29
COL,Colombia,WHO Region of the Americas,South America,52085168,293562,184,52.085168,5636.191862,3.532675559,0.00062678,0.062678,82.05,46.562,22.3,8.3,13.383401,31,19.56,3037.84
BOL,Bolivia,WHO Region of the Americas,South America,12388571,45505,27,12.388571,3673.143577,2.17942812,0.00059334,0.059334,70.83,11.303,20.2,5.5,8.627561,28,26.43,1260.42
BRA,Brazil,WHO Region of the Americas,South America,216422446,9892086,5791,216.422446,45707.30154,26.75785302,0.00058542,0.058542,87.555,25.262,22.1,8.8,15.310751,45,28.77,820.94
AFG,Afghanistan,WHO Eastern Mediterranean Region,Asia,42239854,3600,2,42.239854,85.22756731,0.047348649,0.00055556,0.055556,26.616,63.846,5.5,10.9,4.370692,40,4.64,435.44
MEX,Mexico,WHO Region of the Americas,North America,128455567,472238,256,128.455567,3676.275081,1.99290701,0.0005421,0.05421,81.3,66.219,28.9,16.9,11.898048,32,18.79,375.83
MUS,Mauritius,WHO Region of Africa,Africa,1300557,9348,5,1.300557,7187.689582,3.844506623,0.00053487,0.053487,40.81,627.383,10.8,22.6,17.978416,33,25.09,827.78
,French Guiana,WHO Region of the Americas,South America,312155,16141,8,0.312155,51708.28595,25.62829364,0.00049563,0.049563,,3.691,,,11.045797,,,
PRY,Paraguay,WHO Region of the Americas,South America,6861524,288520,128,6.861524,42048.96755,18.65474784,0.00044364,0.044364,62.818,16.922,20.3,7.5,9.817227,56,26.43,1061.86
,Nepal,WHO South-East Asia Region,Asia,30896590,34385,12,30.89659,1112.905987,0.388392376,0.00034899,0.034899,21.451,201.756,4.1,8.7,9.796389,36,5.75,1936.52
,Vietnam,WHO Western Pacific Region,Asia,98858950,75317,16,98.85895,761.8632405,0.161846752,0.00021244,0.021244,38.766,320.196,2.1,6.1,12.710798,30,26.75,2728.82
