who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
EMR,Afghanistan,40099462,40.099462,Northern,4722,2,117.7571909,0.049875981,0.042354934,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,40099462,40.099462,0.000423549,Subtropical,AFG,42.239854,26.616,63.846,5.5,10.9,4.370692,40,4.64,435.44,184
EUR,Albania,2854710,2.85471,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,2854710,2.85471,,Subtropical,ALB,2.832439,63.799,102.623,21.7,10.2,24.446985,42,16.32,1033.22,74
AFR,Algeria,45606480,45.60648,Northern,0,0,0,0,,Subtropical,African Region,Africa,168851,152,45606480,45.60648,,Subtropical,DZA,45.60648,74.772,19.383,27.4,7.1,10.1232195,36,26.14,4.49,70
AMR,American Samoa,43914,0.043914,Southern,0,0,0,0,,Tropical,Region of the Americas,Oceania,9640,0,43914,0.043914,,Tropical,AS,0.043914,87.196,237.605,,20.3,11.641994,,27.74,943.28,
EUR,Andorra,79034,0.079034,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,79034,0.079034,,Subtropical,AND,0.080088,87.811,172.034,25.6,9.7,21.30046,31,7.65,1183.46,75
AFR,Angola,34503774,34.503774,Southern,86,1,2.492480967,0.028982337,1.162790698,Tropical,African Region,Africa,168851,152,34503774,34.503774,0.011627907,Tropical,AGO,36.684202,68.081,29.478,8.2,4.6,5.342691,39,29.1,771.33,
AMR,Anguilla,15753,0.015753,Northern,5,0,317.3998603,0,,Tropical,Region of the Americas,North America,1142666,934,15753,0.015753,,Tropical,AIA,0.015899,,163.75,,,17.280926,,28.36,946.2,
,Antarctica,0,0,,0,0,,,,Polar,,Antarctica,0,0,0,0,,Polar,AQ,0,,,,,,,-11.96,298.42,
AMR,Antigua,93219,0.093219,Northern,169,0,1812.935131,0,,Subtropical,Region of the Americas,North America,1142666,934,93219,0.093219,,Subtropical,ATG,0.094298,24.346,212.081,18.9,11.7,15.924902,43,28.46,946.2,
AMR,Antilles,,0,Northern,0,0,,,,Subtropical,Region of the Americas,North America,1142666,934,,0,,Subtropical,AN,0,,,,,,,,,
AMR,Argentina,45276780,45.27678,Southern,581559,408,12844.53091,9.011241524,0.070156252,Subtropical,Region of the Americas,South America,11892175,7310,45276780,45.27678,0.000701563,Subtropical,ARG,45.773884,92.347,16.311,28.3,18.4,18.573557,48,15.83,546.29,97
EUR,Armenia,2790974,2.790974,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,2790974,2.790974,,Subtropical,ARM,2.77797,63.573,103.408,20.2,5.6,19.643763,47,7.76,923.09,
AMR,Aruba,106537,0.106537,Northern,88,0,826.0041112,0,,Subtropical,Region of the Americas,South America,11892175,7310,106537,0.106537,,Subtropical,ABW,0.106277,44.052,599.658,,,24.64063,,28.61,671.54,
AMR,Ascension Island,,0,Southern,0,0,,,,Tropical,Region of the Americas,South America,11892175,7310,,0,,Tropical,AC,0,,,,,,,,,
WPR,Australia,25921089,25.921089,Southern,2366,0,91.27702929,0,,Subtropical,Western Pacific Region,Oceania,9640,0,25921089,25.921089,,Subtropical,AUS,26.439111,86.488,,20.1,6.4,26.8831,29,22.96,296.66,31
