date,date_lab,Year,Month,who_region,who_region_long,country,Hemisphere,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
10/1/2024,24-Oct,2024,October,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,1197,112,0,2,0.001670844,0,0.000202411,0.006022504,0,0.003077027
9/1/2024,24-Sep,2024,September,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,450,73,0,0,0,0,0,0.008164002,0,0.008164002
8/1/2024,24-Aug,2024,August,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,551,109,0,0,0,0,0,0.00667252,0,0.00667252
7/1/2024,24-Jul,2024,July,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,314,34,0,0,0,0,0,0.011679285,0,0.011679285
6/1/2024,24-Jun,2024,June,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,145,28,0,0,0,0,0,0.025119664,0,0.025119664
5/1/2024,24-May,2024,May,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,241,22,0,0,0,0,0,0.015190004,0,0.015190004
4/1/2024,24-Apr,2024,April,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,89,1,0,0,0,0,0,0.040600858,0,0.040600858
3/1/2024,24-Mar,2024,March,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,157,11,0,0,0,0,0,0.023222165,0,0.023222165
2/1/2024,24-Feb,2024,February,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,196,44,0,0,0,0,0,0.018644808,0,0.018644808
1/1/2024,24-Jan,2024,January,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,260,60,0,0,0,0,0,0.014087823,0,0.014087823
11/1/2024,Nov-24,2024,November,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
10/1/2024,24-Oct,2024,October,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
9/1/2024,24-Sep,2024,September,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
8/1/2024,24-Aug,2024,August,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
7/1/2024,24-Jul,2024,July,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
6/1/2024,24-Jun,2024,June,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
5/1/2024,24-May,2024,May,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
4/1/2024,24-Apr,2024,April,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
3/1/2024,24-Mar,2024,March,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
2/1/2024,24-Feb,2024,February,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
1/1/2024,24-Jan,2024,January,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
11/1/2024,Nov-24,2024,November,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
10/1/2024,24-Oct,2024,October,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
