country,iso3,who_region,population_at_risk,serotype_date,sero_1,sero_2,sero_3,sero_4,total_pop
Afghanistan,AFG,EMR,1636050,2024-10-01,FALSE,TRUE,FALSE,FALSE,40099462
Albania,ALB,EUR,,,,,,,2854710
Andorra,AND,EUR,,,,,,,79034
Angola,AGO,AFR,,,,,,,34503774
Anguilla,AIA,AMR,18000,2023-12-24,FALSE,TRUE,FALSE,FALSE,15753
Antigua and Barbuda,ATG,AMR,99000,2024-09-01,TRUE,TRUE,FALSE,FALSE,93219
Argentina,ARG,AMR,45606000,2024-10-27,TRUE,TRUE,TRUE,FALSE,45276780
Armenia,ARM,EUR,,,,,,,2790974
Aruba,ABW,AMR,121000,2014-11-23,TRUE,FALSE,FALSE,FALSE,106537
Australia,AUS,WPR,,,,,,,25921089
Austria,AUT,EUR,,,,,,,8922082
Azerbaijan,AZE,EUR,,,,,,,10312992
Bahamas,BHS,AMR,397000,2014-12-28,TRUE,TRUE,FALSE,FALSE,407906
Bangladesh,BGD,SEAR,,,,,,,169356251
Barbados,BRB,AMR,302000,2024-10-27,FALSE,TRUE,TRUE,FALSE,281200
Belarus,BLR,EUR,,,,,,,9578167
Belgium,BEL,EUR,,,,,,,11611419
Belize,BLZ,AMR,411000,2020-12-27,TRUE,FALSE,TRUE,FALSE,400031
Benin,BEN,AFR,,,,,,,12996895
Bermuda,BMU,AMR,72000,,,,,,64185
Bolivia (Plurinational State of),BOL,AMR,11833000,2024-10-27,TRUE,TRUE,FALSE,FALSE,12079472
"Bonaire, Saint Eustatius and Saba",BES,AMR,26000,,,,,,26706
Bosnia and Herzegovina,BIH,EUR,,,,,,,3270943
Brazil,BRA,AMR,213993000,2024-10-27,TRUE,TRUE,TRUE,TRUE,214326223
British Virgin Islands,VGB,AMR,38000,,,,,,31122
Bulgaria,BGR,EUR,,,,,,,6885868
Burkina Faso,BFA,AFR,,2024-10-21,TRUE,TRUE,TRUE,FALSE,22100683
Burundi,BDI,AFR,,,,,,,12551213
Cabo Verde,CPV,AFR,491034,2024-09-23,TRUE,FALSE,TRUE,FALSE,587925
Cambodia,KHM,WPR,,,,,,,16589023
Cameroon,CMR,AFR,,,,,,,27198628
Canada,CAN,AMR,0,,,,,,38155012
Cayman Islands,CYM,AMR,63000,2020-12-27,FALSE,TRUE,FALSE,FALSE,68136
Central African Republic,CAF,AFR,,,,,,,5457154
Chad,TCD,AFR,,,,,,,17179740
Chile,CHL,AMR,19212000,2024-10-27,TRUE,FALSE,FALSE,FALSE,19493184
China,CHN,WPR,,,,,,,1425893465
Colombia,COL,AMR,51266000,2024-10-27,TRUE,TRUE,TRUE,TRUE,51516562
Congo,COG,AFR,,,,,,,5835806
Cook Islands,COK,WPR,,,,,,,17003
Costa Rica,CRI,AMR,5262000,2024-10-27,TRUE,TRUE,TRUE,TRUE,5153957
Côte d'Ivoire,CIV,AFR,,2024-08-26,TRUE,FALSE,TRUE,FALSE,27478249
Croatia,HRV,EUR,,,,,,,4060135
Cuba,CUB,AMR,11317000,2024-07-28,FALSE,TRUE,TRUE,TRUE,11256372
Curaçao,CUW,AMR,152000,,,,,,190338
Cyprus,CYP,EUR,,,,,,,1244188
Czechia,CZE,EUR,,,,,,,10510751
Denmark,DNK,EUR,,,,,,,5854240
Dominica,DMA,AMR,75000,2020-12-27,FALSE,TRUE,TRUE,FALSE,72412
Dominican Republic,DOM,AMR,10954000,2023-12-24,TRUE,TRUE,TRUE,FALSE,11117873
Ecuador,ECU,AMR,17888000,2023-12-24,TRUE,TRUE,FALSE,FALSE,17797737
El Salvador,SLV,AMR,6519000,2024-10-27,TRUE,TRUE,TRUE,TRUE,6314167
Eritrea,ERI,AFR,,,,,,,3620312
Estonia,EST,EUR,,,,,,,1328701
Ethiopia,ETH,AFR,,,,,,,120283026
Fiji,FJI,WPR,,,,,,,924610
