,Row Labels,Cases 2022,Cases 2023,Cases 2024,Total Sum of Cases,Deaths 2022,Deaths 2023,Deaths 2024,Total Sum of Deaths,CFR (%)
1,Bangladesh,62382,321179,101214,484775,281,1705,557,2543,0.525
2,Burkina Faso,0,240298,73808,314106,0,707,94,801,0.255
3,Peru,72851,274227,280726,627804,84,441,259,784,0.125
4,Guatemala,8553,72358,188585,269496,16,119,188,323,0.120
5,Ecuador,16017,27838,61329,105184,13,33,74,120,0.114
6,Panama,11924,20924,37231,70079,5,18,52,75,0.107
7,India,233251,94198,215066,542515,303,91,182,576,0.106
8,Thailand,46678,159219,104681,310578,34,179,87,300,0.097
9,Honduras,25337,34050,177209,236596,9,49,160,218,0.092
10,Nepal,54784,51243,41865,147892,88,20,15,123,0.083
11,Mexico,59918,277963,558846,896727,53,203,478,734,0.082
12,Colombia,69497,131784,320982,522263,48,90,229,367,0.070
13,Guyana,382,27438,44028,71848,0,40,8,48,0.067
14,Argentina,841,146876,581559,729276,0,75,408,483,0.066
15,Sri Lanka,74769,87029,33236,195034,72,38,0,110,0.056
16,Bolivia (Plurinational State of),20007,158744,50439,229190,10,88,29,127,0.055
17,Malaysia,0,0,122423,122423,0,0,67,67,0.055
18,Brazil,2363490,3064739,10239883,15668112,991,1188,6161,8340,0.053
19,Paraguay,7428,63216,295785,366429,0,24,129,153,0.042
20,Pakistan,79007,12589,58670,150266,51,10,0,61,0.041
46,Afghanistan,1266,1496,4722,7484,0,1,2,3,0.040
29,Guadeloupe,790,11751,11025,23566,0,7,0,7,0.030
25,El Salvador,16542,5788,8552,30882,0,0,9,9,0.029
30,Martinique,360,13239,7371,20970,0,6,0,6,0.029
53,Cuba,3036,0,985,4021,1,0,0,1,0.025
43,Maldives,1548,3223,3294,8065,0,0,2,2,0.025
19,Viet Nam,0,0,108433,108433,0,0,26,26,0.024
23,Costa Rica,7485,30649,31259,69393,0,0,7,7,0.010
8,Nicaragua,97541,181096,92022,370659,0,4,1,5,0.001
28,China,0,0,24330,24330,0,0,0,0,0.000
37,Eritrea,0,0,14679,14679,0,0,0,0,0.000
38,Singapore,0,0,13655,13655,0,0,0,0,0.000
42,Saudi Arabia,0,0,8193,8193,0,0,0,0,0.000
45,Belize,5080,1688,1148,7916,0,0,0,0,0.000
47,Mauritania,0,3582,3640,7222,0,0,0,0,0.000
48,Seychelles,0,4614,2583,7197,0,0,0,0,0.000
50,Fiji,0,0,6238,6238,0,0,0,0,0.000
51,Kenya,0,0,4443,4443,0,0,0,0,0.000
52,United States of America,1156,156,3071,4383,0,0,0,0,0.000
54,Haiti,3316,0,0,3316,0,0,0,0,0.000
56,Australia,0,0,2358,2358,0,0,0,0,0.000
57,Barbados,339,771,1133,2243,0,0,0,0,0.000
59,Saint Martin (French part),35,1272,624,1931,0,0,0,0,0.000
64,Ghana,0,18,1163,1181,0,0,0,0,0.000
65,Saint Vincent and the Grenadines,25,17,971,1013,0,0,0,0,0.000
66,Saint Barthélemy,93,737,173,1003,0,0,0,0,0.000
68,Egypt,0,578,0,578,0,0,0,0,0.000
70,Saint Lucia,15,60,432,507,0,0,0,0,0.000
71,Samoa,0,0,473,473,0,0,0,0,0.000
72,Antigua and Barbuda,48,254,169,471,0,0,0,0,0.000
73,Dominica,3,419,0,422,0,0,0,0,0.000
75,Turks and Caicos Islands,3,182,117,302,0,0,0,0,0.000
76,Curaçao,0,0,262,262,0,0,0,0,0.000
78,Italy,0,0,213,213,0,0,0,0,0.000
79,"Bonaire, Saint Eustatius and Saba",0,0,207,207,0,0,0,0,0.000
80,Central African Republic,0,0,207,207,0,0,0,0,0.000
82,United States Virgin Islands,0,0,185,185,0,0,0,0,0.000
83,British Virgin Islands,27,7,139,173,0,0,0,0,0.000
84,Chile,0,0,157,157,0,0,0,0,0.000
85,French Polynesia,0,0,147,147,0,0,0,0,0.000
86,Sint Maarten (Dutch part),0,1,144,145,0,0,0,0,0.000
87,Vanuatu,0,0,138,138,0,0,0,0,0.000
88,Solomon Islands,0,0,125,125,0,0,0,0,0.000
89,Aruba,11,22,88,121,0,0,0,0,0.000
91,France,0,0,85,85,0,0,0,0,0.000
92,Nigeria,0,84,0,84,0,0,0,0,0.000
93,Wallis and Futuna,0,0,78,78,0,0,0,0,0.000
94,Mayotte,0,0,64,64,0,0,0,0,0.000
95,Cameroon,0,0,57,57,0,0,0,0,0.000
97,Cayman Islands,2,42,9,53,0,0,0,0,0.000
99,Liberia,0,0,45,45,0,0,0,0,0.000
100,Micronesia (Federated States of),0,0,43,43,0,0,0,0,0.000
101,Tanzania,,,34,34,,,0,0,0.000
102,Montserrat,9,6,3,18,0,0,0,0,0.000
103,New Caledonia,0,0,16,16,0,0,0,0,0.000
104,Tonga,0,0,14,14,0,0,0,0,0.000
105,Spain,0,0,10,10,0,0,0,0,0.000
107,Anguilla,0,1,5,6,0,0,0,0,0.000
108,Bermuda,0,1,3,4,0,0,0,0,0.000
109,Palau,0,0,4,4,0,0,0,0,0.000
110,Tokelau,0,0,4,4,0,0,0,0,0.000
111,Northern Mariana Islands (Commonwealth of the),0,0,1,1,0,0,0,0,0.000
112,Sierra Leone,0,0,1,1,0,0,0,0,0.000
113,Tuvalu,0,0,1,1,0,0,0,0,0.000
